"user.login","Year","City","Period","n_obs","n_taxa","taxa"
"ahegazi",2021,"Boston, Massachusetts, USA","during",1,1,"460246"
"ahgreene",2020,"Alachua County, Florida, USA","during",2,1,"67747"
"ahgreene",2021,"Alachua County, Florida, USA","during",1,1,"121176"
"aidancampos",2020,"Dallas-Fort Worth, Texas, USA","before",2,2,"463777 69211"
"aidancampos",2020,"Dallas-Fort Worth, Texas, USA","during",5,1,"632126"
"aidanfalvey",2019,"Boston, Massachusetts, USA","during",1,1,"155093"
"aidenshultz",2022,"Alachua County, Florida, USA","after",1,1,"117892"
"aidenzechner-perrin",2022,"Cape Town, Western Cape, South Africa","during",1,1,"60724"
"ainsleybellette",2020,"Geelong, Victoria, Australia","after",1,1,"355906"
"aisenbergs21",2019,"Boston, Massachusetts, USA","during",1,1,"117943"
"aje89",2020,"Boston, Massachusetts, USA","during",3,2,"179037 223123 49490"
"akabatoff",2022,"Tri-Cities, British Columbia, Canada","during",1,1,"123175"
"akeefer13",2020,"Baltimore, Maryland, USA","during",3,3,"200925 69430 151767"
"akilee",2018,"Boston, Massachusetts, USA","during",4,4,"117943 49490 54735 148365"
"akilee",2019,"Boston, Massachusetts, USA","during",5,5,"60724 154184 117943 54734 69436"
"akilee",2020,"Boston, Massachusetts, USA","after",1,1,"179037"
"akilee",2020,"Boston, Massachusetts, USA","before",3,1,"155093 49490"
"akilee",2020,"Boston, Massachusetts, USA","during",22,14,"175150 175896 182467 182613 117943 49490 175944 121208 125773 155093 203800 69430 200925 155090 155094"
"akilee",2021,"Boston, Massachusetts, USA","before",11,9,"119669 119778 148365 182461 117422 182467 49490 117887 155093 125754 117943"
"akilee",2021,"Boston, Massachusetts, USA","during",33,15,"49490 125773 182631 229441 175896 117422 119669 60724 154184 117950 182467 54735 121208 54734 155093 175859 117951 148365"
"akilee",2022,"Boston, Massachusetts, USA","before",5,3,"49490 203800 148365 179037"
"akilee",2022,"Boston, Massachusetts, USA","during",25,13,"123230 49490 121208 175944 151767 117943 125754 60724 182542 182461 69468 182467 117887 69430 117422 148365 155090 55576"
"akjee11",2022,"Boston, Massachusetts, USA","during",1,1,"182713"
"akomo",2019,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",5,4,"54735 55576 197141 194681"
"akowalski00",2022,"Chicago, Illinois, USA","during",1,1,"155090"
"akozak4",2020,"Cleveland-Akron-Canton, OH, USA","during",1,1,"117943"
"akschnetler",2021,"Cape Town, Western Cape, South Africa","during",2,1,"49490"
"alabamaplants",2019,"Birmingham Metro Area, Alabama, USA","during",1,1,"460246"
"alabamaplants",2021,"Chattanooga, Tennessee, USA","during",1,1,"462813"
"alacorazza",2019,"Boston, Massachusetts, USA","after",1,1,"119778"
"alacy",2018,"Boston, Massachusetts, USA","during",3,3,"117971 59968 55576"
"alan285",2021,"Eugene-Springfield, Oregon, USA","during",1,1,"123175"
"alanapplecampomanescosare",2020,"Davao City, Philippines","during",1,1,"117938"
"alanataylor1",2020,"Baltimore, Maryland, USA","during",4,4,"117943 182613 148365 182631"
"alanbragg",2019,"Boston, Massachusetts, USA","during",2,2,"117943 148365"
"albert77",2022,"Garden Route, Western Cape, South Africa","during",3,2,"179037 67747 182679"
"alchemist2000",2019,"Dallas-Fort Worth, Texas, USA","during",1,1,"117887"
"alchemist2000",2022,"Dallas-Fort Worth, Texas, USA","during",1,1,"117887"
"aldo1795",2019,"Austin, Texas, USA","during",2,1,"55553"
"alecc",2021,"Baton Rouge, Louisiana, USA","before",2,1,"48325"
"alejahurtado2018",2018,"Bogotá, Colombia","during",2,2,"55576 117943"
"alejahurtado2018",2019,"Bogotá, Colombia","during",1,1,"117943"
"alejandraalvarado129",2019,"Ciudad de México, México","during",2,2,"117943 69430"
"alejandro_quesada_torres",2021,"GAM, San José, Costa Rica","during",1,1,"48325"
"aleschke",2018,"Baltimore, Maryland, USA","during",1,1,"54734"
"alessaeu",2021,"Curitiba, Paraná, Brazil","after",1,1,"232361"
"alettka",2022,"Brno, Czech Republic","during",1,1,"55576"
"alex_walker",2020,"Dallas-Fort Worth, Texas, USA","during",1,1,"117943"
"alex456",2019,"Bogotá, Colombia","during",1,1,"49490"
"alexandrafeldman",2020,"Alachua County, Florida, USA","during",3,1,"464189"
"alexdommett",2022,"Bristol & Bath City Region, UK","during",1,1,"54758"
"alexfinden",2022,"Denver-Boulder Metro, Colorado, USA","before",1,1,"182679"
"alexis_orion",2021,"Berlin, Germany","after",5,5,"223123 463837 124439 60718 55576"
"alexis_orion",2021,"Berlin, Germany","before",1,1,"55576"
"alexis_orion",2021,"Berlin, Germany","during",113,20,"55576 60718 124439 49490 117887 155093 194686 54734 632126 462706 179366 531563 463837 117971 155497 1019864 182455 179720 123175 117943 182652 223123"
"alexis_orion",2022,"Berlin, Germany","after",1,1,"55576"
"alexis_orion",2022,"Berlin, Germany","during",167,28,"124439 54734 49490 182631 462706 69211 55576 228059 179366 155497 531563 117887 632126 60718 123175 463485 179720 399803 194681 462563 182455 155094 532267 50252 463837 223123 1019864 463479 54758 179864"
"alexlamoreaux",2022,"Boston, Massachusetts, USA","during",1,1,"69437"
"alexminshull",2022,"Bristol & Bath City Region, UK","during",2,2,"124439 55576"
"alfgut",2022,"Cape Town, Western Cape, South Africa","during",1,1,"60724"
"alflinn329",2018,"Austin, Texas, USA","during",1,1,"232361"
"alice_shanks",2019,"Ōtautahi/Christchurch, Canterbury, New Zealand","after",1,1,"118252"
"alice_shanks",2022,"Ōtautahi/Christchurch, Canterbury, New Zealand","before",1,1,"154184"
"alice_shanks",2022,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",1,1,"55576"
"alice2019",2021,"Baton Rouge, Louisiana, USA","during",2,2,"54758 227252"
"alice2019",2022,"Baton Rouge, Louisiana, USA","during",2,2,"121176 155091"
"alice31",2021,"Dallas-Fort Worth, Texas, USA","during",2,2,"222950 69430"
"alice387",2020,"Cleveland-Akron-Canton, OH, USA","during",1,1,"200925"
"alicew3",2021,"Birmingham & Black Country, Midlands, UK","during",4,3,"123175 54734 55576"
"alicew3",2022,"Birmingham & Black Country, Midlands, UK","during",2,2,"55576 54734"
"aliciaglong",2021,"Atlanta, Georgia, USA","during",1,1,"117867"
"aliecox",2021,"Boston, Massachusetts, USA","during",2,2,"67747 117943"
"alifrase",2022,"Waterloo Region, Ontario, Canada","during",5,4,"223257 463344 154184 55576 54294"
"alison_young",2021,"eThekwini, Kwa-Zulu Natal, South Africa","during",1,1,"49490"
"alisonevans92",2019,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",1,1,"67747"
"alisongh",2020,"Chattanooga, Tennessee, USA","during",1,1,"227252"
"alisonwatson",2020,"Geelong, Victoria, Australia","during",2,2,"49490 355906"
"alisonwatson",2022,"Geelong, Victoria, Australia","during",2,2,"67747 54757"
"alistair_whitby",2021,"Brighton, Sussex, UK","during",1,1,"55576"
"alistairt",2020,"Cape Town, Western Cape, South Africa","during",1,1,"55576"
"allamashanova",2022,"Chur, Chur, Switzerland","after",1,1,"54613"
"alliecomet",2019,"Boston, Massachusetts, USA","during",1,1,"117943"
"allison_royal",2020,"Western NC, North Carolina, USA","during",1,1,"69430"
"allison375",2020,"Austin, Texas, USA","during",1,1,"48325"
"allison89",2019,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",79,64,"890875 381014 117865 69214 512794 512789 502881 402657 117900 117925 463837 117901 345005 486322 117887 502882 407667 1232362 400303 217296 203090 182554 403378 355335 405265 400959 120448 403786 175179 227995 463344 404836 117867 223453 232383 222835 415652 888223 223257 123348 229442 69207 404856 407045 463838 117945 117913 399503 182455 864330 355352 407058 369677 117958 403856 117942 402274 405262 355336 404816 404818 411151 179037 405725 410752 400311 406763 473041"
"allisonrhoughton",2018,"Boston, Massachusetts, USA","during",1,1,"117943"
"allisonrhoughton",2020,"Boston, Massachusetts, USA","during",3,3,"154107 119669 117943"
"alojosephine",2022,"Albuquerque, New Mexico, USA","after",1,1,"67747"
"alokk",2022,"Baton Rouge, Louisiana, USA","during",1,1,"200925"
"alorenz",2018,"Boston, Massachusetts, USA","during",21,14,"54734 54607 813872 59954 67747 460246 182670 504611 117987 117854 151767 119669 117971 49490 117943"
"alperngrant",2021,"Atlanta, Georgia, USA","during",1,1,"117943"
"alshmur",2022,"Eugene-Springfield, Oregon, USA","after",1,1,"48711"
"altocumulus",2021,"Cape Town, Western Cape, South Africa","during",4,4,"55553 182631 344442 69430"
"alyssakeith",2019,"Boston, Massachusetts, USA","during",2,1,"117943"
"amanda619",2021,"Baton Rouge, Louisiana, USA","during",2,2,"117867 117943"
"amanda619",2022,"Baton Rouge, Louisiana, USA","during",4,3,"117867 67747 227252 155095"
"amandaweltman",2022,"Tri-Cities, British Columbia, Canada","during",2,2,"117992 463344"
"amber1002",2022,"Boston, Massachusetts, USA","during",1,1,"117943"
"amberainscough",2021,"Bristol & Bath City Region, UK","during",1,1,"182631"
"amberdawnt",2020,"Charlottesville, Virginia, USA","during",1,1,"49490"
"amberenergy",2021,"Baton Rouge, Louisiana, USA","before",1,1,"121176"
"amberenergy",2022,"Baton Rouge, Louisiana, USA","during",1,1,"464189"
"ambertam",2022,"Cape Town, Western Cape, South Africa","during",1,1,"55576"
"ambra161",2021,"Cleveland-Akron-Canton, OH, USA","during",3,3,"49490 463344 220115"
"amebrookes",2020,"Birmingham & Black Country, Midlands, UK","during",2,2,"175944 54734"
"ameckhardt",2021,"Alachua County, Florida, USA","during",1,1,"155091"
"amelia226",2022,"Cape Town, Western Cape, South Africa","during",2,2,"60724 55576"
"amesjs",2020,"Western NC, North Carolina, USA","during",1,1,"67747"
"ammlmt",2019,"Calgary, Canada","during",7,4,"117887 344442 124439 67747 117877"
"ammlmt",2020,"Calgary, Canada","during",9,6,"67747 344442 117877 155090 154108 223638"
"ammlmt",2021,"Calgary, Canada","during",10,6,"54734 532267 344442 117877 182679 175488"
"amphibijenn",2022,"Albuquerque, New Mexico, USA","during",2,2,"69436 123230"
"amyandthewildfolk",2019,"Bristol & Bath City Region, UK","during",1,1,"54734"
"amybalkin",2021,"Ōtautahi/Christchurch, Canterbury, New Zealand","before",1,1,"175357"
"amydessert",2020,"Eugene-Springfield, Oregon, USA","during",5,3,"117988 67747 48711"
"amydessert",2021,"Eugene-Springfield, Oregon, USA","during",1,1,"67747"
"amymertl",2020,"Boston, Massachusetts, USA","during",1,1,"117951"
"amywallace9",2019,"Boston, Massachusetts, USA","during",1,1,"67747"
"amyyhunter",2022,"Geelong, Victoria, Australia","during",1,1,"83475"
"ana_belen20",2022,"GAM, San José, Costa Rica","during",1,1,"1035932"
"ana_gloria",2021,"Cuernavaca, Morelos, México","during",1,1,"175359"
"anais9",2018,"Bogotá, Colombia","during",1,1,"54735"
"anamct",2019,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",2,1,"60724"
"anaxyruswoodhousii",2022,"Northern Colorado, Colorado, USA","during",1,1,"532540"
"anbai002",2022,"Baltimore, Maryland, USA","during",1,1,"54734"
"andershastings",2022,"Northern Colorado, Colorado, USA","before",1,1,"182508"
"andershonk",2020,"Western NC, North Carolina, USA","during",2,2,"67747 117951"
"andersonfabbri",2018,"Boston, Massachusetts, USA","during",1,1,"69436"
"andersonic",2020,"Boston, Massachusetts, USA","during",1,1,"125754"
"andrea_jane",2020,"Calgary, Canada","during",1,1,"117887"
"andrea_navarro20",2022,"Ensenada, Baja California, México","during",1,1,"60724"
"andrea1363",2021,"Cape Town, Western Cape, South Africa","during",1,1,"60724"
"andrea2887",2022,"Ciudad de México, México","during",1,1,"60724"
"andreadearywei",2019,"Cape Town, Western Cape, South Africa","during",2,2,"117867 117943"
"andreavs",2021,"Denver-Boulder Metro, Colorado, USA","during",1,1,"60724"
"andreinc",2022,"Charlotte, North Carolina, USA","before",1,1,"117938"
"andrerossouw",2021,"Cape Town, Western Cape, South Africa","during",1,1,"69163"
"andressa_wille",2021,"Curitiba, Paraná, Brazil","during",1,1,"69211"
"andresstyles",2019,"Bogotá, Colombia","during",1,1,"67747"
"andrew1803",2022,"Garden Route, Western Cape, South Africa","before",1,1,"60724"
"andrewbc",2020,"Chattanooga, Tennessee, USA","during",1,1,"117943"
"andrewifebhor",2020,"Boston, Massachusetts, USA","before",1,1,"69430"
"andrewjoslin",2019,"Boston, Massachusetts, USA","during",3,3,"180494 59954 155093"
"andrewlonero",2022,"Boston, Massachusetts, USA","before",1,1,"59954"
"andrewlonero",2022,"Boston, Massachusetts, USA","during",2,2,"630835 148365"
"andrewm",2019,"Cape Town, Western Cape, South Africa","during",1,1,"60724"
"andrewm",2022,"Cape Town, Western Cape, South Africa","during",4,4,"55554 67747 1080564 117867"
"andrewwittridge",2020,"Cape Town, Western Cape, South Africa","during",1,1,"203713"
"andri8",2022,"Garden Route, Western Cape, South Africa","during",1,1,"117867"
"andy_ag",2022,"Ciudad de México, México","after",4,3,"69437 117951 54757"
"andybirkey",2022,"Colorado Springs, Colorado, USA","after",1,1,"230002"
"andybirkey",2022,"Colorado Springs, Colorado, USA","during",2,2,"123230 229083"
"andybirkey",2022,"Denver-Boulder Metro, Colorado, USA","during",3,3,"119888 532175 532267"
"andyfrazer",2022,"Bristol & Bath City Region, UK","during",1,1,"182455"
"andygo1",2022,"Austin, Texas, USA","during",2,2,"117887 174748"
"andyjones",2018,"Cleveland-Akron-Canton, OH, USA","during",1,1,"155093"
"andyjones",2020,"Cleveland-Akron-Canton, OH, USA","during",2,2,"117951 49490"
"andyk",2018,"Dallas-Fort Worth, Texas, USA","during",3,1,"54735"
"andyk",2019,"Dallas-Fort Worth, Texas, USA","during",1,1,"117943"
"andyk",2020,"Dallas-Fort Worth, Texas, USA","during",2,2,"117943 69430"
"andyk",2022,"Dallas-Fort Worth, Texas, USA","during",1,1,"117943"
"andyunderscore",2022,"Birmingham & Black Country, Midlands, UK","during",2,2,"55576 54294"
"angela_aschmann",2019,"Cape Town, Western Cape, South Africa","during",2,2,"154184 117938"
"angela427",2019,"Charlotte, North Carolina, USA","during",1,1,"54734"
"angelamaslin",2019,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",2,2,"319389 117425"
"angelanoske",2022,"Garden Route, Western Cape, South Africa","before",2,2,"960311 55554"
"angelanoske",2022,"Garden Route, Western Cape, South Africa","during",1,1,"55576"
"angelica_gtz",2022,"Ensenada, Baja California, México","during",1,1,"117932"
"angelicasalas",2018,"Bogotá, Colombia","during",1,1,"49490"
"angelinabeloff",2022,"Ciudad de México, México","during",1,1,"117887"
"angieq",2021,"Fort Wayne, Indiana, USA","during",1,1,"117943"
"angusg",2021,"Bristol & Bath City Region, UK","during",1,1,"775650"
"anibotani",2021,"Cape Town, Western Cape, South Africa","during",3,3,"55554 60724 55576"
"anikamarsh",2020,"Garden Route, Western Cape, South Africa","during",1,1,"55554"
"anil_khadka",2021,"Austin, Texas, USA","during",3,3,"151767 232361 55553"
"anisognatus",2018,"Bogotá, Colombia","during",1,1,"60724"
"anistasya",2021,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",9,3,"155094 54757 55576 229759 48325"
"anna_rankin",2022,"Columbus, Ohio, USA","during",1,1,"54294"
"anna22",2018,"Austin, Texas, USA","after",1,1,"67747"
"anna2630",2022,"Curitiba, Paraná, Brazil","during",1,1,"463096"
"annaaldridge",2022,"Cape Town, Western Cape, South Africa","during",2,2,"531563 502882"
"annabellebolitho",2019,"Boston, Massachusetts, USA","during",1,1,"117951"
"annabigler",2022,"Western NC, North Carolina, USA","after",1,1,"119669"
"annacasey",2020,"Boston, Massachusetts, USA","during",1,1,"49490"
"annaemery",2020,"Charlottesville, Virginia, USA","during",1,1,"117951"
"annafratantoni",2021,"Burlington/Winooski, Vermont, USA","during",1,1,"69430"
"annahikes",2021,"Dallas-Fort Worth, Texas, USA","during",1,1,"117987"
"annainaustin",2019,"Austin, Texas, USA","during",1,1,"155091"
"annakovach",2022,"Cleveland-Akron-Canton, OH, USA","during",2,1,"463344"
"annalises",2021,"Calgary, Canada","during",2,2,"174748 182679"
"annalyce1234",2018,"Denver-Boulder Metro, Colorado, USA","during",1,1,"632126"
"annamariacarey",2021,"Brighton, Sussex, UK","during",2,2,"55576 117980"
"anncabras24",2021,"Davao City, Philippines","during",1,1,"67747"
"anncabras24",2022,"Davao City, Philippines","during",2,2,"117867 182631"
"anne_laure42",2021,"Cape Town, Western Cape, South Africa","during",5,4,"49490 67747 229759 117942"
"annefarley",2019,"Cleveland-Akron-Canton, OH, USA","during",1,1,"155090"
"annekevet",2022,"Cape Town, Western Cape, South Africa","during",3,2,"117867 55553"
"anneriesenekal",2021,"Cape Town, Western Cape, South Africa","during",1,1,"700540"
"annettebolton",2020,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",4,2,"55576 229759"
"annettebolton",2021,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",1,1,"54757"
"annidawg",2022,"Colorado Springs, Colorado, USA","during",1,1,"154250"
"annika4748",2021,"Boston, Massachusetts, USA","during",1,1,"155093"
"annikaml",2020,"Dallas-Fort Worth, Texas, USA","before",6,5,"229759 229441 117887 233685 55553"
"annikaml",2020,"Dallas-Fort Worth, Texas, USA","during",3,3,"117887 55553 532533"
"annikaml",2022,"Dallas-Fort Worth, Texas, USA","during",4,3,"117853 55553 117887"
"annkatrinrose",2019,"Western NC, North Carolina, USA","after",2,1,"59954"
"annkatrinrose",2022,"Western NC, North Carolina, USA","during",14,10,"182467 49490 175489 59954 155095 117867 48711 67747 1035932 125773"
"annnoe",2022,"Cape Town, Western Cape, South Africa","during",2,2,"229759 69430"
"annschunior",2019,"Boston, Massachusetts, USA","during",1,1,"67747"
"annschunior",2020,"Boston, Massachusetts, USA","during",3,1,"117951"
"annschunior",2021,"Boston, Massachusetts, USA","after",1,1,"117943"
"annschunior",2021,"Boston, Massachusetts, USA","during",6,2,"117943 117951 67747"
"annschunior",2022,"Boston, Massachusetts, USA","during",6,4,"54735 125773 182631 67747"
"annsymons",2020,"Garden Route, Western Cape, South Africa","during",3,3,"117943 117867 229759"
"annsymons",2021,"Garden Route, Western Cape, South Africa","during",2,1,"155093 49490"
"annwf",2022,"Western NC, North Carolina, USA","during",1,1,"320843"
"annyperalta",2020,"Ensenada, Baja California, México","during",2,2,"117932 60724"
"annyperalta",2021,"Ensenada, Baja California, México","during",2,2,"54623 60724"
"annyperalta",2022,"Ensenada, Baja California, México","before",1,1,"69163"
"annyperalta",2022,"Ensenada, Baja California, México","during",9,6,"117932 155094 174748 60724 532267 532707"
"anthony_iliou",2022,"Tri-Cities, British Columbia, Canada","before",1,1,"118252"
"anthony369",2022,"Cape Town, Western Cape, South Africa","during",1,1,"67747"
"anthony583",2022,"Cape Town, Western Cape, South Africa","during",2,2,"175055 60724"
"anthonyk07",2019,"Boston, Massachusetts, USA","during",1,1,"182713"
"anthonymccaughan",2019,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",4,4,"117892 175426 48325 222062"
"anthonymccaughan",2020,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",3,3,"50252 229759 55576"
"antje_m",2020,"Cape Town, Western Cape, South Africa","during",1,1,"55576"
"antje_m",2021,"Cape Town, Western Cape, South Africa","during",1,1,"55576"
"anya_black",2022,"Cape Town, Western Cape, South Africa","during",1,1,"55576"
"anz_vong",2019,"Cape Town, Western Cape, South Africa","during",1,1,"55576"
"anz_vong",2021,"Cape Town, Western Cape, South Africa","during",1,1,"54294"
"aperry",2022,"Cleveland-Akron-Canton, OH, USA","during",2,2,"155094 49490"
"apins",2019,"Boston, Massachusetts, USA","during",1,1,"148365"
"apownall",2018,"Cleveland-Akron-Canton, OH, USA","after",1,1,"463344"
"applejax123",2020,"Calgary, Canada","during",2,2,"67747 344442"
"aprilsee",2018,"Austin, Texas, USA","during",1,1,"200925"
"aputamkiejit",2022,"Calgary, Canada","before",3,3,"54757 54734 54322"
"aputamkiejit",2022,"Calgary, Canada","during",2,2,"67747 69729"
"arand",2019,"Cleveland-Akron-Canton, OH, USA","before",1,1,"155090"
"arand",2020,"Cleveland-Akron-Canton, OH, USA","during",1,1,"125773"
"arboretum_amy",2020,"Orange County, California, USA","during",1,1,"182455"
"ari-p",2020,"Charlottesville, Virginia, USA","during",1,1,"49490"
"ari_p",2022,"Chur, Chur, Switzerland","during",1,1,"175355"
"ari222",2022,"Boston, Massachusetts, USA","during",4,3,"155092 203800 182455"
"ariane918",2022,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",1,1,"123894"
"arielg",2021,"Orange County, California, USA","during",1,1,"55576"
"ariella_d",2021,"Chicago, Illinois, USA","during",7,4,"117887 344442 117892 200925 155090"
"arizz",2019,"Boston, Massachusetts, USA","during",1,1,"117951"
"arloren",2018,"Boston, Massachusetts, USA","during",1,1,"117943"
"armani2",2019,"Boston, Massachusetts, USA","during",1,1,"60724"
"arnda2485",2018,"Waterloo Region, Ontario, Canada","after",1,1,"55576"
"arnellec",2021,"Cape Town, Western Cape, South Africa","during",2,2,"67747 69163"
"aroe",2022,"Denver-Boulder Metro, Colorado, USA","after",1,1,"182679"
"arounseville",2020,"Boston, Massachusetts, USA","during",1,1,"117943"
"artemis70",2020,"Eugene-Springfield, Oregon, USA","during",1,1,"54734"
"as_andile",2022,"Cape Town, Western Cape, South Africa","during",1,1,"49490"
"asalinas10",2021,"Bogotá, Colombia","after",1,1,"117892"
"asher50",2022,"Denver-Boulder Metro, Colorado, USA","after",1,1,"54294"
"asherpb",2019,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",1,1,"48325"
"ashleckannayrda",2019,"Ensenada, Baja California, México","during",1,1,"55553"
"ashley592",2019,"Dallas-Fort Worth, Texas, USA","during",1,1,"117877"
"ashley594",2019,"Charlotte, North Carolina, USA","during",1,1,"154184"
"ashleyllama",2018,"Austin, Texas, USA","during",1,1,"55554"
"ashlin_ellan",2021,"eThekwini, Kwa-Zulu Natal, South Africa","during",1,1,"117929"
"asianbeyonce",2018,"Baltimore, Maryland, USA","after",1,1,"69430"
"asmackey",2022,"Fairfield and Westchester County, Connecticut and New York, USA","during",1,1,"155091"
"aspencer",2020,"Denver-Boulder Metro, Colorado, USA","during",7,5,"182455 54294 117858 220115 182679 175350 67747"
