"user.id","start.date","end.date","n_obs","n_obs_all"
1505157,2022-07-29,2022-10-27,0,56
1505157,2022-10-28,2023-01-26,0,54
3267907,2020-04-24,2020-07-23,0,21
3267907,2020-07-24,2020-10-22,6,646
3267907,2020-10-23,2021-01-28,0,293
3267907,2021-01-29,2021-04-29,4,340
3267907,2021-04-30,2021-07-29,7,335
3267907,2021-07-30,2021-10-28,2,295
3267907,2021-10-29,2022-01-27,0,137
3267907,2022-01-28,2022-04-28,0,6
3267907,2022-04-29,2022-07-28,0,2
3267907,2022-07-29,2022-10-27,1,58
3267907,2022-10-28,2023-01-26,0,123
2600646,2020-01-24,2020-04-23,0,18
2600646,2020-04-24,2020-07-23,0,16
2600646,2020-07-24,2020-10-22,0,44
2600646,2020-10-23,2021-01-28,0,45
2600646,2021-01-29,2021-04-29,0,46
2600646,2021-04-30,2021-07-29,2,19
2600646,2021-07-30,2021-10-28,0,62
2600646,2021-10-29,2022-01-27,0,19
2600646,2022-01-28,2022-04-28,0,43
2600646,2022-04-29,2022-07-28,0,31
2600646,2022-07-29,2022-10-27,0,24
2600646,2022-10-28,2023-01-26,0,30
1178757,2018-07-27,2018-10-25,0,11
1178757,2018-10-26,2019-01-24,0,72
1178757,2019-01-25,2019-04-25,0,344
1178757,2019-04-26,2019-07-25,1,182
1178757,2019-07-26,2019-10-24,1,451
1178757,2019-10-25,2020-01-23,0,1229
1178757,2020-01-24,2020-04-23,0,844
1178757,2020-04-24,2020-07-23,3,1872
1178757,2020-07-24,2020-10-22,7,2948
1178757,2020-10-23,2021-01-28,0,1055
1178757,2021-01-29,2021-04-29,0,1938
1178757,2021-04-30,2021-07-29,2,1918
1178757,2021-07-30,2021-10-28,2,2895
1178757,2021-10-29,2022-01-27,0,1415
1178757,2022-01-28,2022-04-28,0,2223
1178757,2022-04-29,2022-07-28,2,1041
1178757,2022-07-29,2022-10-27,4,1325
1178757,2022-10-28,2023-01-26,5,1874
2503755,2019-10-25,2020-01-23,0,4
2503755,2020-01-24,2020-04-23,0,16
2503755,2020-04-24,2020-07-23,0,127
2503755,2020-07-24,2020-10-22,2,222
2503755,2020-10-23,2021-01-28,0,27
2503755,2021-01-29,2021-04-29,1,275
2503755,2021-04-30,2021-07-29,16,748
2503755,2021-07-30,2021-10-28,33,1854
2503755,2021-10-29,2022-01-27,7,973
2503755,2022-01-28,2022-04-28,6,88
2503755,2022-04-29,2022-07-28,35,476
2503755,2022-07-29,2022-10-27,68,755
2503755,2022-10-28,2023-01-26,19,837
2600997,2020-01-24,2020-04-23,0,25
2600997,2020-04-24,2020-07-23,0,1
2600997,2020-07-24,2020-10-22,0,1
2600997,2020-10-23,2021-01-28,0,0
2600997,2021-01-29,2021-04-29,4,153
2600997,2021-04-30,2021-07-29,1,68
2600997,2021-07-30,2021-10-28,0,12
2600997,2021-10-29,2022-01-27,0,7
2600997,2022-01-28,2022-04-28,2,181
2600997,2022-04-29,2022-07-28,0,66
2600997,2022-07-29,2022-10-27,0,5
2600997,2022-10-28,2023-01-26,0,6
3377185,2020-07-24,2020-10-22,39,463
3377185,2020-10-23,2021-01-28,1,391
3377185,2021-01-29,2021-04-29,9,483
3377185,2021-04-30,2021-07-29,21,467
3377185,2021-07-30,2021-10-28,7,144
3377185,2021-10-29,2022-01-27,1,183
3377185,2022-01-28,2022-04-28,3,542
3377185,2022-04-29,2022-07-28,18,746
3377185,2022-07-29,2022-10-27,2,407
3377185,2022-10-28,2023-01-26,0,99
125679,2018-01-26,2018-04-26,0,0
125679,2018-04-27,2018-07-26,0,1
125679,2018-07-27,2018-10-25,0,0
125679,2018-10-26,2019-01-24,0,1
125679,2019-01-25,2019-04-25,0,0
125679,2019-04-26,2019-07-25,0,0
125679,2019-07-26,2019-10-24,0,23
125679,2019-10-25,2020-01-23,1,28
125679,2020-01-24,2020-04-23,0,101
125679,2020-04-24,2020-07-23,1,245
125679,2020-07-24,2020-10-22,0,406
125679,2020-10-23,2021-01-28,0,213
125679,2021-01-29,2021-04-29,0,176
125679,2021-04-30,2021-07-29,1,173
125679,2021-07-30,2021-10-28,2,576
125679,2021-10-29,2022-01-27,1,123
125679,2022-01-28,2022-04-28,0,122
125679,2022-04-29,2022-07-28,4,785
125679,2022-07-29,2022-10-27,6,729
125679,2022-10-28,2023-01-26,2,604
2241275,2019-07-26,2019-10-24,0,0
2241275,2019-10-25,2020-01-23,0,0
2241275,2020-01-24,2020-04-23,0,0
2241275,2020-04-24,2020-07-23,2,128
2241275,2020-07-24,2020-10-22,0,0
2241275,2020-10-23,2021-01-28,0,0
2241275,2021-01-29,2021-04-29,0,0
2241275,2021-04-30,2021-07-29,0,0
2241275,2021-07-30,2021-10-28,0,0
2241275,2021-10-29,2022-01-27,0,0
2241275,2022-01-28,2022-04-28,0,22
2241275,2022-04-29,2022-07-28,0,57
2241275,2022-07-29,2022-10-27,0,23
2241275,2022-10-28,2023-01-26,0,27
125674,2018-01-26,2018-04-26,0,0
125674,2018-04-27,2018-07-26,0,0
125674,2018-07-27,2018-10-25,0,0
125674,2018-10-26,2019-01-24,0,4
125674,2019-01-25,2019-04-25,0,3
125674,2019-04-26,2019-07-25,0,2
125674,2019-07-26,2019-10-24,0,2
125674,2019-10-25,2020-01-23,0,6
125674,2020-01-24,2020-04-23,0,49
125674,2020-04-24,2020-07-23,2,260
125674,2020-07-24,2020-10-22,2,264
125674,2020-10-23,2021-01-28,0,69
125674,2021-01-29,2021-04-29,0,43
125674,2021-04-30,2021-07-29,0,131
125674,2021-07-30,2021-10-28,3,326
125674,2021-10-29,2022-01-27,2,167
125674,2022-01-28,2022-04-28,0,99
125674,2022-04-29,2022-07-28,3,455
125674,2022-07-29,2022-10-27,5,666
125674,2022-10-28,2023-01-26,6,763
2714859,2020-01-24,2020-04-23,0,8
2714859,2020-04-24,2020-07-23,1,62
2714859,2020-07-24,2020-10-22,0,2
2714859,2020-10-23,2021-01-28,0,0
2714859,2021-01-29,2021-04-29,0,0
2714859,2021-04-30,2021-07-29,0,0
2714859,2021-07-30,2021-10-28,0,0
2714859,2021-10-29,2022-01-27,0,0
2714859,2022-01-28,2022-04-28,0,0
2714859,2022-04-29,2022-07-28,0,0
2714859,2022-07-29,2022-10-27,0,0
2714859,2022-10-28,2023-01-26,0,0
602581,2018-01-26,2018-04-26,0,0
602581,2018-04-27,2018-07-26,0,1
602581,2018-07-27,2018-10-25,0,19
602581,2018-10-26,2019-01-24,0,87
602581,2019-01-25,2019-04-25,0,72
602581,2019-04-26,2019-07-25,0,126
602581,2019-07-26,2019-10-24,0,107
602581,2019-10-25,2020-01-23,0,87
602581,2020-01-24,2020-04-23,0,138
602581,2020-04-24,2020-07-23,1,304
602581,2020-07-24,2020-10-22,0,355
602581,2020-10-23,2021-01-28,0,215
602581,2021-01-29,2021-04-29,1,107
602581,2021-04-30,2021-07-29,0,149
602581,2021-07-30,2021-10-28,0,90
602581,2021-10-29,2022-01-27,0,111
602581,2022-01-28,2022-04-28,0,43
602581,2022-04-29,2022-07-28,0,118
602581,2022-07-29,2022-10-27,0,109
602581,2022-10-28,2023-01-26,0,143
2775274,2020-01-24,2020-04-23,0,2
2775274,2020-04-24,2020-07-23,4,364
2775274,2020-07-24,2020-10-22,0,151
2775274,2020-10-23,2021-01-28,0,217
2775274,2021-01-29,2021-04-29,0,44
2775274,2021-04-30,2021-07-29,0,159
2775274,2021-07-30,2021-10-28,0,282
2775274,2021-10-29,2022-01-27,0,89
2775274,2022-01-28,2022-04-28,0,69
2775274,2022-04-29,2022-07-28,3,258
2775274,2022-07-29,2022-10-27,1,235
2775274,2022-10-28,2023-01-26,0,40
2326162,2019-07-26,2019-10-24,0,436
2326162,2019-10-25,2020-01-23,0,374
2326162,2020-01-24,2020-04-23,1,66
2326162,2020-04-24,2020-07-23,4,302
2326162,2020-07-24,2020-10-22,0,824
2326162,2020-10-23,2021-01-28,0,417
2326162,2021-01-29,2021-04-29,0,253
2326162,2021-04-30,2021-07-29,1,255
2326162,2021-07-30,2021-10-28,0,707
2326162,2021-10-29,2022-01-27,3,392
2326162,2022-01-28,2022-04-28,1,327
2326162,2022-04-29,2022-07-28,1,921
2326162,2022-07-29,2022-10-27,0,1337
2326162,2022-10-28,2023-01-26,0,34
1435965,2018-10-26,2019-01-24,0,7
1435965,2019-01-25,2019-04-25,0,0
1435965,2019-04-26,2019-07-25,0,0
1435965,2019-07-26,2019-10-24,0,6
1435965,2019-10-25,2020-01-23,0,5
1435965,2020-01-24,2020-04-23,0,28
1435965,2020-04-24,2020-07-23,2,41
1435965,2020-07-24,2020-10-22,1,100
1435965,2020-10-23,2021-01-28,0,32
1435965,2021-01-29,2021-04-29,8,98
1435965,2021-04-30,2021-07-29,1,99
1435965,2021-07-30,2021-10-28,3,515
1435965,2021-10-29,2022-01-27,0,74
1435965,2022-01-28,2022-04-28,0,93
1435965,2022-04-29,2022-07-28,3,137
1435965,2022-07-29,2022-10-27,5,308
1435965,2022-10-28,2023-01-26,1,76
1887493,2019-04-26,2019-07-25,0,41
1887493,2019-07-26,2019-10-24,3,108
1887493,2019-10-25,2020-01-23,0,18
1887493,2020-01-24,2020-04-23,0,47
1887493,2020-04-24,2020-07-23,1,115
1887493,2020-07-24,2020-10-22,0,85
1887493,2020-10-23,2021-01-28,0,142
1887493,2021-01-29,2021-04-29,0,144
1887493,2021-04-30,2021-07-29,0,58
1887493,2021-07-30,2021-10-28,0,30
1887493,2021-10-29,2022-01-27,0,25
1887493,2022-01-28,2022-04-28,0,101
1887493,2022-04-29,2022-07-28,0,61
1887493,2022-07-29,2022-10-27,0,113
1887493,2022-10-28,2023-01-26,0,105
31215,2018-01-26,2018-04-26,0,3
31215,2018-04-27,2018-07-26,0,0
31215,2018-07-27,2018-10-25,0,4
31215,2018-10-26,2019-01-24,0,1
31215,2019-01-25,2019-04-25,0,1
31215,2019-04-26,2019-07-25,0,0
31215,2019-07-26,2019-10-24,0,12
31215,2019-10-25,2020-01-23,0,47
31215,2020-01-24,2020-04-23,0,35
31215,2020-04-24,2020-07-23,0,87
31215,2020-07-24,2020-10-22,0,132
31215,2020-10-23,2021-01-28,0,42
31215,2021-01-29,2021-04-29,0,20
31215,2021-04-30,2021-07-29,0,69
31215,2021-07-30,2021-10-28,0,78
31215,2021-10-29,2022-01-27,0,13
31215,2022-01-28,2022-04-28,0,26
31215,2022-04-29,2022-07-28,1,73
31215,2022-07-29,2022-10-27,0,29
31215,2022-10-28,2023-01-26,1,69
741839,2018-01-26,2018-04-26,0,0
741839,2018-04-27,2018-07-26,0,0
741839,2018-07-27,2018-10-25,0,0
741839,2018-10-26,2019-01-24,0,0
741839,2019-01-25,2019-04-25,0,0
741839,2019-04-26,2019-07-25,0,0
741839,2019-07-26,2019-10-24,0,0
741839,2019-10-25,2020-01-23,0,0
741839,2020-01-24,2020-04-23,0,0
741839,2020-04-24,2020-07-23,0,0
741839,2020-07-24,2020-10-22,0,0
741839,2020-10-23,2021-01-28,0,0
741839,2021-01-29,2021-04-29,0,0
741839,2021-04-30,2021-07-29,0,0
741839,2021-07-30,2021-10-28,0,0
741839,2021-10-29,2022-01-27,0,0
741839,2022-01-28,2022-04-28,4,114
741839,2022-04-29,2022-07-28,4,150
741839,2022-07-29,2022-10-27,2,142
741839,2022-10-28,2023-01-26,0,172
5318972,2021-10-29,2022-01-27,0,88
5318972,2022-01-28,2022-04-28,3,743
5318972,2022-04-29,2022-07-28,7,598
5318972,2022-07-29,2022-10-27,28,1856
5318972,2022-10-28,2023-01-26,6,652
4919996,2021-07-30,2021-10-28,0,82
4919996,2021-10-29,2022-01-27,0,67
4919996,2022-01-28,2022-04-28,0,125
4919996,2022-04-29,2022-07-28,2,210
4919996,2022-07-29,2022-10-27,0,166
4919996,2022-10-28,2023-01-26,1,316
3484846,2020-07-24,2020-10-22,0,3
3484846,2020-10-23,2021-01-28,0,1
3484846,2021-01-29,2021-04-29,0,4
3484846,2021-04-30,2021-07-29,3,167
3484846,2021-07-30,2021-10-28,0,60
3484846,2021-10-29,2022-01-27,0,28
3484846,2022-01-28,2022-04-28,1,59
3484846,2022-04-29,2022-07-28,6,126
3484846,2022-07-29,2022-10-27,1,65
3484846,2022-10-28,2023-01-26,0,22
1913736,2019-04-26,2019-07-25,0,281
1913736,2019-07-26,2019-10-24,0,382
1913736,2019-10-25,2020-01-23,0,346
1913736,2020-01-24,2020-04-23,1,1180
1913736,2020-04-24,2020-07-23,4,793
1913736,2020-07-24,2020-10-22,0,848
1913736,2020-10-23,2021-01-28,2,1245
1913736,2021-01-29,2021-04-29,0,1243
1913736,2021-04-30,2021-07-29,6,1731
1913736,2021-07-30,2021-10-28,1,699
1913736,2021-10-29,2022-01-27,0,551
1913736,2022-01-28,2022-04-28,0,346
1913736,2022-04-29,2022-07-28,0,351
1913736,2022-07-29,2022-10-27,0,128
1913736,2022-10-28,2023-01-26,0,294
762080,2018-01-26,2018-04-26,0,5
762080,2018-04-27,2018-07-26,0,1
762080,2018-07-27,2018-10-25,0,1
762080,2018-10-26,2019-01-24,0,0
762080,2019-01-25,2019-04-25,0,1
762080,2019-04-26,2019-07-25,0,2
762080,2019-07-26,2019-10-24,0,3
762080,2019-10-25,2020-01-23,0,2
762080,2020-01-24,2020-04-23,1,7
762080,2020-04-24,2020-07-23,1,299
762080,2020-07-24,2020-10-22,0,80
762080,2020-10-23,2021-01-28,0,8
762080,2021-01-29,2021-04-29,0,82
762080,2021-04-30,2021-07-29,10,970
762080,2021-07-30,2021-10-28,0,130
762080,2021-10-29,2022-01-27,0,28
762080,2022-01-28,2022-04-28,0,64
762080,2022-04-29,2022-07-28,4,382
762080,2022-07-29,2022-10-27,0,140
762080,2022-10-28,2023-01-26,0,59
1779497,2019-04-26,2019-07-25,0,94
1779497,2019-07-26,2019-10-24,0,8
1779497,2019-10-25,2020-01-23,0,1
1779497,2020-01-24,2020-04-23,0,37
1779497,2020-04-24,2020-07-23,8,894
1779497,2020-07-24,2020-10-22,3,320
1779497,2020-10-23,2021-01-28,2,250
1779497,2021-01-29,2021-04-29,0,99
1779497,2021-04-30,2021-07-29,4,476
1779497,2021-07-30,2021-10-28,1,128
1779497,2021-10-29,2022-01-27,1,183
1779497,2022-01-28,2022-04-28,3,360
1779497,2022-04-29,2022-07-28,7,912
1779497,2022-07-29,2022-10-27,0,108
1779497,2022-10-28,2023-01-26,0,36
4324541,2021-04-30,2021-07-29,3,37
4324541,2021-07-30,2021-10-28,0,0
4324541,2021-10-29,2022-01-27,0,0
4324541,2022-01-28,2022-04-28,0,0
4324541,2022-04-29,2022-07-28,0,0
4324541,2022-07-29,2022-10-27,0,0
4324541,2022-10-28,2023-01-26,0,0
583414,2018-01-26,2018-04-26,0,0
583414,2018-04-27,2018-07-26,0,0
583414,2018-07-27,2018-10-25,0,0
583414,2018-10-26,2019-01-24,0,1
583414,2019-01-25,2019-04-25,0,0
583414,2019-04-26,2019-07-25,0,0
583414,2019-07-26,2019-10-24,0,0
583414,2019-10-25,2020-01-23,0,0
583414,2020-01-24,2020-04-23,0,6
583414,2020-04-24,2020-07-23,0,15
583414,2020-07-24,2020-10-22,0,1
583414,2020-10-23,2021-01-28,0,0
583414,2021-01-29,2021-04-29,0,0
583414,2021-04-30,2021-07-29,2,66
583414,2021-07-30,2021-10-28,0,0
583414,2021-10-29,2022-01-27,0,1
583414,2022-01-28,2022-04-28,0,0
583414,2022-04-29,2022-07-28,0,0
583414,2022-07-29,2022-10-27,0,1
583414,2022-10-28,2023-01-26,0,0
4349088,2021-04-30,2021-07-29,1,15
4349088,2021-07-30,2021-10-28,0,0
4349088,2021-10-29,2022-01-27,0,0
4349088,2022-01-28,2022-04-28,0,0
4349088,2022-04-29,2022-07-28,0,0
4349088,2022-07-29,2022-10-27,0,0
4349088,2022-10-28,2023-01-26,0,0
608645,2018-01-26,2018-04-26,0,0
608645,2018-04-27,2018-07-26,0,0
608645,2018-07-27,2018-10-25,0,7
608645,2018-10-26,2019-01-24,0,26
608645,2019-01-25,2019-04-25,1,246
608645,2019-04-26,2019-07-25,1,634
608645,2019-07-26,2019-10-24,0,392
608645,2019-10-25,2020-01-23,1,199
608645,2020-01-24,2020-04-23,0,337
608645,2020-04-24,2020-07-23,6,657
608645,2020-07-24,2020-10-22,2,455
608645,2020-10-23,2021-01-28,1,459
608645,2021-01-29,2021-04-29,0,658
608645,2021-04-30,2021-07-29,3,1287
608645,2021-07-30,2021-10-28,1,694
608645,2021-10-29,2022-01-27,0,359
608645,2022-01-28,2022-04-28,1,251
608645,2022-04-29,2022-07-28,1,206
608645,2022-07-29,2022-10-27,0,6
608645,2022-10-28,2023-01-26,0,31
226045,2018-01-26,2018-04-26,0,567
226045,2018-04-27,2018-07-26,0,606
226045,2018-07-27,2018-10-25,1,1006
226045,2018-10-26,2019-01-24,0,91
226045,2019-01-25,2019-04-25,3,672
226045,2019-04-26,2019-07-25,4,1303
226045,2019-07-26,2019-10-24,3,454
226045,2019-10-25,2020-01-23,1,341
226045,2020-01-24,2020-04-23,0,749
226045,2020-04-24,2020-07-23,17,2693
226045,2020-07-24,2020-10-22,2,1271
226045,2020-10-23,2021-01-28,2,669
226045,2021-01-29,2021-04-29,12,1354
226045,2021-04-30,2021-07-29,18,3237
226045,2021-07-30,2021-10-28,11,2246
226045,2021-10-29,2022-01-27,2,258
226045,2022-01-28,2022-04-28,3,1304
226045,2022-04-29,2022-07-28,2,1952
226045,2022-07-29,2022-10-27,10,572
226045,2022-10-28,2023-01-26,0,82
4288831,2021-01-29,2021-04-29,0,27
4288831,2021-04-30,2021-07-29,1,87
4288831,2021-07-30,2021-10-28,0,10
4288831,2021-10-29,2022-01-27,0,2
4288831,2022-01-28,2022-04-28,0,3
4288831,2022-04-29,2022-07-28,0,4
4288831,2022-07-29,2022-10-27,0,1
4288831,2022-10-28,2023-01-26,0,0
2625586,2020-01-24,2020-04-23,0,2
2625586,2020-04-24,2020-07-23,2,55
2625586,2020-07-24,2020-10-22,0,0
2625586,2020-10-23,2021-01-28,0,1
2625586,2021-01-29,2021-04-29,0,0
2625586,2021-04-30,2021-07-29,1,57
2625586,2021-07-30,2021-10-28,1,89
2625586,2021-10-29,2022-01-27,0,0
2625586,2022-01-28,2022-04-28,0,2
2625586,2022-04-29,2022-07-28,0,1
2625586,2022-07-29,2022-10-27,0,0
2625586,2022-10-28,2023-01-26,0,0
1791930,2019-04-26,2019-07-25,0,7
1791930,2019-07-26,2019-10-24,0,3
1791930,2019-10-25,2020-01-23,0,3
1791930,2020-01-24,2020-04-23,0,0
1791930,2020-04-24,2020-07-23,0,5
1791930,2020-07-24,2020-10-22,0,60
1791930,2020-10-23,2021-01-28,0,34
1791930,2021-01-29,2021-04-29,0,28
1791930,2021-04-30,2021-07-29,7,189
1791930,2021-07-30,2021-10-28,5,170
1791930,2021-10-29,2022-01-27,0,18
1791930,2022-01-28,2022-04-28,0,80
1791930,2022-04-29,2022-07-28,1,20
1791930,2022-07-29,2022-10-27,0,219
1791930,2022-10-28,2023-01-26,1,18
741872,2018-01-26,2018-04-26,0,137
741872,2018-04-27,2018-07-26,0,83
741872,2018-07-27,2018-10-25,0,35
741872,2018-10-26,2019-01-24,0,0
741872,2019-01-25,2019-04-25,0,15
741872,2019-04-26,2019-07-25,0,16
741872,2019-07-26,2019-10-24,0,23
741872,2019-10-25,2020-01-23,0,8
741872,2020-01-24,2020-04-23,1,21
741872,2020-04-24,2020-07-23,1,240
741872,2020-07-24,2020-10-22,1,340
741872,2020-10-23,2021-01-28,0,91
741872,2021-01-29,2021-04-29,0,161
741872,2021-04-30,2021-07-29,5,814
741872,2021-07-30,2021-10-28,1,223
741872,2021-10-29,2022-01-27,0,21
741872,2022-01-28,2022-04-28,0,112
741872,2022-04-29,2022-07-28,3,855
741872,2022-07-29,2022-10-27,0,122
741872,2022-10-28,2023-01-26,0,37
2828563,2020-04-24,2020-07-23,0,153
2828563,2020-07-24,2020-10-22,0,13
2828563,2020-10-23,2021-01-28,0,2
2828563,2021-01-29,2021-04-29,0,17
2828563,2021-04-30,2021-07-29,4,180
2828563,2021-07-30,2021-10-28,0,10
2828563,2021-10-29,2022-01-27,0,1
2828563,2022-01-28,2022-04-28,0,0
2828563,2022-04-29,2022-07-28,0,3
2828563,2022-07-29,2022-10-27,0,1
2828563,2022-10-28,2023-01-26,0,1
3545650,2020-07-24,2020-10-22,1,81
3545650,2020-10-23,2021-01-28,0,9
3545650,2021-01-29,2021-04-29,0,13
3545650,2021-04-30,2021-07-29,2,111
3545650,2021-07-30,2021-10-28,0,2
3545650,2021-10-29,2022-01-27,0,3
3545650,2022-01-28,2022-04-28,0,10
3545650,2022-04-29,2022-07-28,0,17
3545650,2022-07-29,2022-10-27,0,11
3545650,2022-10-28,2023-01-26,0,2
2763236,2020-01-24,2020-04-23,0,0
2763236,2020-04-24,2020-07-23,1,11
2763236,2020-07-24,2020-10-22,0,0
2763236,2020-10-23,2021-01-28,0,0
2763236,2021-01-29,2021-04-29,0,0
2763236,2021-04-30,2021-07-29,5,394
2763236,2021-07-30,2021-10-28,3,117
2763236,2021-10-29,2022-01-27,0,0
2763236,2022-01-28,2022-04-28,0,1
2763236,2022-04-29,2022-07-28,0,0
2763236,2022-07-29,2022-10-27,0,0
2763236,2022-10-28,2023-01-26,0,0
2819612,2020-01-24,2020-04-23,0,0
2819612,2020-04-24,2020-07-23,2,110
2819612,2020-07-24,2020-10-22,0,0
2819612,2020-10-23,2021-01-28,0,0
2819612,2021-01-29,2021-04-29,0,2
2819612,2021-04-30,2021-07-29,2,254
2819612,2021-07-30,2021-10-28,0,57
2819612,2021-10-29,2022-01-27,0,0
2819612,2022-01-28,2022-04-28,0,1
2819612,2022-04-29,2022-07-28,0,0
2819612,2022-07-29,2022-10-27,0,0
2819612,2022-10-28,2023-01-26,0,0
2868531,2020-04-24,2020-07-23,0,12
2868531,2020-07-24,2020-10-22,0,13
2868531,2020-10-23,2021-01-28,0,6
2868531,2021-01-29,2021-04-29,0,19
2868531,2021-04-30,2021-07-29,1,39
2868531,2021-07-30,2021-10-28,0,11
2868531,2021-10-29,2022-01-27,0,3
2868531,2022-01-28,2022-04-28,0,3
2868531,2022-04-29,2022-07-28,0,13
2868531,2022-07-29,2022-10-27,0,6
2868531,2022-10-28,2023-01-26,0,1
4331631,2021-04-30,2021-07-29,1,59
4331631,2021-07-30,2021-10-28,0,0
4331631,2021-10-29,2022-01-27,0,0
4331631,2022-01-28,2022-04-28,0,0
4331631,2022-04-29,2022-07-28,0,0
4331631,2022-07-29,2022-10-27,0,0
4331631,2022-10-28,2023-01-26,0,0
522377,2018-01-26,2018-04-26,0,0
522377,2018-04-27,2018-07-26,0,0
522377,2018-07-27,2018-10-25,0,0
522377,2018-10-26,2019-01-24,0,0
522377,2019-01-25,2019-04-25,0,0
522377,2019-04-26,2019-07-25,1,21
522377,2019-07-26,2019-10-24,0,15
522377,2019-10-25,2020-01-23,0,8
522377,2020-01-24,2020-04-23,0,12
522377,2020-04-24,2020-07-23,0,41
522377,2020-07-24,2020-10-22,0,23
522377,2020-10-23,2021-01-28,0,20
522377,2021-01-29,2021-04-29,0,26
522377,2021-04-30,2021-07-29,1,203
522377,2021-07-30,2021-10-28,0,17
522377,2021-10-29,2022-01-27,0,17
522377,2022-01-28,2022-04-28,0,110
522377,2022-04-29,2022-07-28,0,242
522377,2022-07-29,2022-10-27,0,43
522377,2022-10-28,2023-01-26,0,21
57521,2018-01-26,2018-04-26,0,6
57521,2018-04-27,2018-07-26,2,27
57521,2018-07-27,2018-10-25,0,9
57521,2018-10-26,2019-01-24,0,0
57521,2019-01-25,2019-04-25,0,0
57521,2019-04-26,2019-07-25,0,41
57521,2019-07-26,2019-10-24,0,173
57521,2019-10-25,2020-01-23,0,167
57521,2020-01-24,2020-04-23,0,99
57521,2020-04-24,2020-07-23,5,538
57521,2020-07-24,2020-10-22,0,44
57521,2020-10-23,2021-01-28,0,7
57521,2021-01-29,2021-04-29,0,27
57521,2021-04-30,2021-07-29,1,487
57521,2021-07-30,2021-10-28,0,21
57521,2021-10-29,2022-01-27,3,92
57521,2022-01-28,2022-04-28,0,52
57521,2022-04-29,2022-07-28,7,671
57521,2022-07-29,2022-10-27,0,15
